Name 2,Own 2,Rank 2013,Rank 2012,Change2,Current Turnover,Last,Y-O-Y %,Current Profit,Last2,Y-O-Y %2,Operating Margin % |Current,Last3,(Ppts),ROCE |Current,Last4,Year End,Activity,OwnPos
Robert Wiseman Dairies,UK sub,21,20,-1,946,920,2.8,10,35,-71.8,1.1,3.8,-2.8,4.6,18.2,01/12/2014,uB,22
Cranswick,Listed,22,21,-1,875,819,6.9,48,46,5.2,5.5,5.6,-0.1,26.5,26.3,Mar-13,uB,9
Hj Heinz,UK sub,23,22,-1,823,781,5.4,148,148,0.3,18,19,-0.9,26.4,37.4,04/12/2014,B,9
Samworth Brothers,Family,24,24,0,747,718,4,45,47,-4.6,6,6.5,-0.5,18.9,21,12/11/2014,uB,17
Kerry Foods,UK sub,25,25,0,679,568,19.5,9,26,-66.9,1.3,4.6,-3.3,4.3,14,12/11/2014,B,11
Gerber Emig,Family,26,29,3,648,635,2.1,11,-3,,1.6,-0.4,2.1,5.4,-1.4,12/12/2014,uB,11
Milk Link,Listed,27,28,1,638,590,8.2,28,28,-0.2,4.3,4.7,-0.4,15.5,15.9,03/12/2014,uB,9
Kellogg’S,UK sub,28,30,2,633,659,-3.9,12,12,4.4,2,1.8,0.2,14.1,14,12/11/2014,B,9
Noble Foods,Family,29,30,1,593,595,-0.3,29,24,20.6,4.8,4,0.8,23.7,19.6,09/12/2014,uB,11
James Finlay,UK sub,30,31,1,591,611,-3.3,12,18,-36.4,2,3,-1,4.2,6.4,12/11/2014,uB,12
Woodhead Bros Meat Co,UK sub,31,32,1,569,535,6.4,42,52,-18,7.4,9.6,-2.2,27.8,43.6,01/12/2014,uB,21
Warburtons,Family,32,34,2,515,497,3.7,55,49,10.8,10.6,9.9,0.7,14.4,13.6,09/12/2014,B,10
Fletcher Bay Investment,PE,33,35,2,497,490,1.5,13,10,21.6,2.5,2.1,0.4,31.2,34.3,12/12/2014,uB,24
Birds Eye,UK sub,34,36,2,462,457,1.2,78,68,14.2,16.9,15,1.9,45.9,29,12/12/2014,B,9
Young’S Seafood,PE,35,,,458,na,na,3,na,na,0.7,na,na,na,na,12/11/2014,B,15
Sun Valley Foods,UK sub,36,41,5,441,369,19.6,-14,-24,,-3.2,-6.5,3.3,-21.7,-39.1,05/12/2014,uB,16
McCain Foods,UK sub,37,39,2,404,372,8.8,46,49,-5.3,11.5,13.2,-1.7,28.4,35,06/12/2014,B,17
Fresca Group,Family,38,37,-1,395,391,1,5,9,-40.5,1.3,2.3,-0.9,9,15.3,04/12/2014,uB,12
Farmers Boy,UK sub,39,40,1,384,370,3.9,54,55,-2.3,13.9,14.8,-0.9,26.2,33.7,01/12/2014,uB,11
Müller Dairy Uk,UK sub,40,38,-2,372,393,-5.3,36,41,-13.2,9.6,10.5,-0.9,168.5,116.2,12/11/2014,B,15
Faccenda Group,PE,41,47,6,352,314,12.3,4,3,52,1.1,0.8,0.3,8.2,5.6,04/12/2014,uB,14
G’S Group Holdings,Family,42,43,1,351,329,6.6,6,9,-33.1,1.8,2.8,-1.1,5.9,9,05/12/2014,uB,18
Burton’S Foods,PE,43,42,-1,343,323,6.1,9,13,-29.1,2.6,3.9,-1.3,7,10.5,12/11/2014,B,14
Bernard Matthews Holdings,Family,44,46,2,342,315,8.8,5,-16,,1.4,-4.9,6.3,3.7,-10.3,07/12/2014,B,25
Meadow Foods,Family,45,48,3,340,301,13.1,9,9,5.1,2.7,2.9,-0.2,47.5,46.6,03/12/2014,uB,23
Weetabix,UK sub,46,45,-1,336,321,4.8,91,129,-29.1,27.2,40.2,-13,12.7,20,12/11/2014,B,8
Adams Foods,UK sub,47,44,-3,321,323,-0.9,5,0,,1.6,-0.1,1.7,5.4,-0.3,12/12/2014,B,11
Dawn Meats,Listed,48,49,1,299,277,8,0,3,-89.5,0.1,1.1,-0.9,0.5,4.6,12/11/2014,uB,15
Icelandic Group Uk,UK sub,49,52,3,291,268,8.6,8,6,33.9,2.8,2.3,0.5,16.1,8,12/12/2014,uB,18
Linden Foods,UK sub,50,,,283,259,9.2,5,3,78.7,1.7,1,0.6,15.5,,09/12/2014,uB,12
Cott Beverages,UK sub,51,50,-1,280,240,16.7,18,16,9.8,6.5,6.9,-0.4,8.1,12,12/11/2014,uB,14
